"R‚f‚rence
immobilisation";"D‚signation
";"Date 
d'acquisition";"Date de
mise en service";"Valeur
d'acquisition";"Valeur
r‚siduelle";;"Groupe 
immobilisation";"Libell‚ groupe
immobilisation"
MAE/000015/CRB100;Bac de chaux;31/12/1977;31/12/1977;450000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000016/CRB100;Bac de chaux;31/12/1977;31/12/1977;450000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000017/CRB100;Agitateur d'alumine;31/12/1977;31/12/1977;3000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000018/CRB100;Agitateur d'alumine;31/12/1977;31/12/1977;3000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000019/CRB100;Agitateur de chaux;31/12/1977;31/12/1977;3000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000020/CRB100;Agitateur de chaux;31/12/1977;31/12/1977;3000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000038/CRK100;Citerne 10000L;31/12/1977;31/12/1977;4200000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000001/CRO100;Arm.comm.elect.et protect.gale;31/12/1978;31/12/1978;5758679;0;;857;MATERIEL ELECTRIQUE
MAE/000018/CRY100;Anti belier;31/12/1978;31/12/1978;18248174;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000002/CRO100;Transformateur MT-BT;31/12/1979;31/12/1979;12975000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRO100;Arm.commande elect.generale;31/12/1979;31/12/1979;16616824;0;;857;MATERIEL ELECTRIQUE
MAE/000020/CRB125;Groupe electrogene;31/12/1980;31/12/1980;17000000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000039/CRK100;Reservoir;31/12/1980;31/12/1980;175000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000040/CRK100;Reservoir;31/12/1980;31/12/1980;175000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000041/CRK100;Reservoir;31/12/1980;31/12/1980;175000;0;;859;MATERIEL ELECTROMECANIQUE
MOB/000002/CRK225;Table bois avec 1 tiroir;31/12/1980;31/12/1980;75000;0;;881;MOBILIER DE BUREAU
MAE/000001/CRK150;Transformateur;31/12/1981;31/12/1981;1950000;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRY125;Paratonnerre;31/12/1981;31/12/1981;1142225;0;;857;MATERIEL ELECTRIQUE
MAE/000011/CRP100;Reservoir;31/12/1981;31/12/1981;200000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000012/CRP100;Bac de chloration;31/12/1981;31/12/1981;475000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000013/CRP100;Citerne;31/12/1981;31/12/1981;30684041;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000016/CRK150;Cuve a gasoil;31/12/1981;31/12/1981;2500000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000021/CRF150;Cuve siege;31/12/1981;31/12/1981;2500000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000008/CRK200;Reservoir;31/12/1982;31/12/1982;520000;0;;859;MATERIEL ELECTROMECANIQUE
MAE/000009/CRO225;Cuve a gasoil;31/12/1982;31/12/1982;520000;0;;859;MATERIEL ELECTROMECANIQUE
MOB/000001/CRK275;Tab.bois pieds met.6 tiroirs;31/12/1982;31/12/1982;45000;0;;881;MOBILIER DE BUREAU
MAE/000001/CRK225;Arm.comm.elect.electropompes;31/12/1984;31/12/1984;7671950;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRK225;Arm.commande elect.generale;31/12/1984;31/12/1984;22053616;0;;857;MATERIEL ELECTRIQUE
MAE/000002/CRY100;TransformateurSONABEL;31/12/1984;31/12/1984;2500000;0;;857;MATERIEL ELECTRIQUE
MAE/000003/CRY100;Transformateur MT/BT;31/12/1984;31/12/1984;11577650;0;;857;MATERIEL ELECTRIQUE
OUT/000001/CRK225;Echelle;31/12/1984;31/12/1984;60000;0;;865;MATERIEL ET OUTILLAGE
OUT/000002/CRK225;Caisse a outils;31/12/1984;31/12/1984;2000000;0;;865;MATERIEL ET OUTILLAGE
MOB/000004/CRK100;Table avec formicat;31/12/1984;31/12/1984;85000;0;;881;MOBILIER DE BUREAU
MOB/000005/CRK100;Arm.bois 2 battants pieds met.;31/12/1984;31/12/1984;94500;0;;881;MOBILIER DE BUREAU
MOB/000006/CRK100;Arm.bois 2 battants pieds met.;31/12/1984;31/12/1984;94500;0;;881;MOBILIER DE BUREAU
MAE/000001/CRB175;Armoire electrique;31/12/1985;31/12/1985;3576700;0;;857;MATERIEL ELECTRIQUE
MAE/000001/CRY225;Coffret electrique;31/12/1985;31/12/1985;300000;0;;857;MATERIEL ELECTRIQUE
MAE/000008/CRL100;Armoire electrique;31/12/1985;31/12/1985;545000;0;;857;MATERIEL ELECTRIQUE
MAE/000009/CRL100;Armoire electrique;31/12/1985;31/12/1985;1348711;0;;857;MATERIEL ELECTRIQUE
MAB/000005/CRL100;Refrigerateur;31/12/1985;31/12/1985;497700;0;;872;MATERIEL DE BUREAU
MAE/000001/CRL150;Paratonnerre;31/12/1986;31/12/1986;1400000;0;;857;MATERIEL ELECTRIQUE
MAE/000042/CRK100;Electropompe de surface;31/12/1986;31/12/1986;2219250;0;;859;MATERIEL ELECTROMECANIQUE
MOB/000001/CAB100;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000001/DAS100;Armoire metallique a 5 clapets;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
MOB/000001/DME300;Table;31/12/1986;31/12/1986;87000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRB200;Table bois pieds metalliques;31/12/1986;31/12/1986;55000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRB350;Table bois pieds metalliques;31/12/1986;31/12/1986;22000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRB625;Tablette (support Imprimante);31/12/1986;31/12/1986;60000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRK100;Table bois pieds met.tel.-Fax;31/12/1986;31/12/1986;45000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRK200;Tablette bois a roulettes;31/12/1986;31/12/1986;11000;0;;881;MOBILIER DE BUREAU
MOB/000001/DRO250;Armoire metallique 2 battants;31/12/1986;31/12/1986;99000;0;;881;MOBILIER DE BUREAU
